id;Nombre;Grupo;Tipo;Nombre Variables;Lenguaje;Tecnologia;Valor Nuevo/min;Publicar;% con copilot;copilot;% TME ;"TME 
sobre el valor de la base "
1;Input text;Base-Front;Elemento base;html/maquetacion;Html;React;20 min;1;20%;16 min;30%;26 min
1;Input text;Base-Front;Elemento base;css;Html;React;30 min;1;30%;21 min;30%;39 min
1;Input text;Base-Front;Elemento base;interfaces/parametros;Html;React;30 min;1;30%;21 min;30%;39 min
2;Button;Base;Elemento base;html/maquetacion;Html;React;20 min;1;30%;14 min;30%;26 min
2;Button;Base;Elemento base;Css;Html;React;30 min;1;30%;21 min;30%;39 min
2;Button;Base;Elemento base;Handleclick;Html;React;15 min;1;20%;12 min;30%;20 min
3;Input radio;Base;Elemento base;html/maquetacion;Html;React;20 min;1;20%;16 min;30%;26 min
3;Input radio;Base;Elemento base;Estilos;Html;React;30 min;1;20%;24 min;30%;39 min
3;Input radio;Base;Elemento base;interfaces/parametros;Html;React;30 min;1;20%;24 min;30%;39 min
3;Input radio;Base;Elemento base;Handleclick;Html;React;30 min;1;20%;24 min;30%;39 min
4;Button;Base;Elemento base;Maquetacion estilos handle ;Swift;iOS;60 min;1;20%;48 min;30%;78 min
4;Button;Base;Elemento base;Estilos;Swift;iOS;40 min;1;20%;32 min;30%;52 min
4;Button;Base;Elemento base;Handleclick;Swift;iOS;30 min;1;30%;21 min;30%;39 min
5;Input text;Base;Elemento base;xml;Java;Android;20 min;1;12%;18 min;30%;26 min
5;Input text;Base-Front;Elemento base;Handleclick;Java;Android;30 min;1;12%;26 min;30%;39 min
1;Input text;Base-Front;Elemento base;Estilos custom;Html;React;60 min;1;12%;53 min;30%;78 min
6;Button;Base-Front;Elemento base;Maquetacion;Java;Android;10 min;1;0%;10 min;30%;13 min
6;Button;Base-Front;Elemento base;Estilos;Java;Android;38 min;1;15%;32 min;30%;49 min
6;Button;Base-Front;Elemento base;Handleclick;Java;Android;14 min;1;12%;12 min;30%;18 min
7;Micro create;Base-Back;Servicio;Clase validacion;Java;String_Boot;30 min;1;30%;21 min;30%;39 min
7;Micro create;Base-Back;Servicio;Clase Modelo;Java;String_Boot;20 min;1;30%;14 min;30%;26 min
7;Micro lectura;Base-Back;Servicio;Clase Modelo;Java;String_Boot;20 min;1;30%;14 min;30%;26 min
8;Micro delete;Base-Back;Servicio;Clase Modelo;Java;String_Boot;20 min;1;30%;14 min;30%;26 min
9;Micro update;Base-Back;Servicio;Clase Modelo;Java;String_Boot;20 min;1;30%;14 min;30%;26 min
9;Micro update;Base-Back;Servicio;Clase Validaciones;Java;String_Boot;20 min;1;30%;14 min;30%;26 min
1;Input text;Base-Front;Elemento base;evento onclick;Html;React;30 min;1;30%;21 min;30%;39 min
10;Input text-login;Base-Front;Elemento base;html/maquetacion;Html;React;20 min;1;30%;14 min;30%;26 min
10;Input text-login;Base-Front;Elemento base;evento onclick2;Html;React;30 min;1;30%;21 min;30%;39 min
10;Input text-login;Base-Front;Elemento base;evento onclick3;Html;React;30 min;1;30%;21 min;30%;39 min
11;logo-splash;Base-Front;Elemento base;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
11;logo-splash;Base-Front;Elemento base;animacion;Html;React;25 min;1;30%;18 min;30%;33 min
9;Micro update;Base-Front;Elemento base;imagen;Html;React;10 min;1;30%;07 min;30%;13 min
12;Input text;Base;Elemento base;Maquetacion;Swift;iOS;30 min;1;30%;21 min;30%;39 min
13;jwt.swft;Base-Front;Elemento base;encrtpt;Swift;iOS;30 min;1;30%;21 min;30%;39 min
13;jwt.swft;Base-Front;Elemento base;dencrtpt;Swift;iOS;40 min;1;30%;28 min;30%;52 min
14;div;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
15;span;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
16;section;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
17;article;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
18;header;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
19;footer;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
20;nav;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
21;aside;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
22;main;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
23;figure;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
24;figcaption;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
25;details;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
26;summary;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
27;form;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
28;fieldset;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
29;table;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
30;tbody;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
31;thead;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
32;tfoot;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
33;generico;Base-Front;Contenedor;Maquetacion;Html;React;10 min;1;30%;07 min;30%;13 min
34;LinearLayout;Base-Front;Contenedor;Maquetacion;Java;Android;10 min;1;12%;09 min;30%;13 min
35;RelativeLayout;Base-Front;Contenedor;Maquetacion;Java;Android;20 min;1;12%;18 min;30%;26 min
36;ConstraintLayout;Base-Front;Contenedor;Maquetacion;Java;Android;30 min;1;12%;26 min;30%;39 min
38;GridLayout;Base-Front;Contenedor;Maquetacion;Java;Android;10 min;1;12%;09 min;30%;13 min
40;CoordinatorLayout;Base-Front;Contenedor;Maquetacion;Java;Android;90 min;1;12%;79 min;30%;117 min
41;ScrollView;Base-Front;Contenedor;Maquetacion;Java;Android;25 min;1;12%;22 min;30%;33 min
42;HorizontalScrollView;Base-Front;Contenedor;Maquetacion;Java;Android;25 min;1;12%;22 min;30%;33 min
44;ViewGroup;Base-Front;Contenedor;Maquetacion;Java;Android;10 min;1;12%;09 min;30%;13 min
45;RecyclerView;Base-Front;Contenedor;Maquetacion;Java;Android;80 min;1;12%;70 min;30%;104 min
46;UIView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
47;UIScrollView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
48;UIStackView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
49;UITableView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
50;UICollectionView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
51;UITabBarController;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
52;UINavigationController;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
53;UIPageViewController;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
54;UIPopoverController;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
55;UIWindow;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
56;UISplitViewController;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
57;Contenedor generico ;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
58;View;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
59;ScrollView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
60;FlatList;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
61;SectionList;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
62;VirtualizedList;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
63;SafeAreaView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
64;KeyboardAvoidingView;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
65;Modal;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
66;Pressable;Base-Front;Contenedor;Maquetacion;Swift;iOS;10 min;1;30%;07 min;30%;13 min
